asignatura,tema,año,convocatoria,ejercicio,tipo_ejercicio
química,ácido base,2004,Reserva 4,Ejercicio B4,Hidrólisis de sales (KCl; NH4Cl) y clasificación ácida/neutra
química,ácido base,2004,Septiembre,Ejercicio A5,Equilibrio de ácido débil (molaridad y grado de disociación a partir del pH)
química,ácido base,2004,Septiembre,Ejercicio B4,Identificación ácido fuerte/débil por pH y hidrólisis de CH3COONa
química,ácido base,2005,Junio,Ejercicio A3,pH de ácido fuerte y base fuerte dibásica
química,ácido base,2005,Junio,Ejercicio B5,Equilibrio de base débil (Kb y grado de disociación a partir de pH)
química,ácido base,2005,Reserva 1,Ejercicio A6,Equilibrio de ácido débil (Ka y grado de disociación a partir de pH)
química,ácido base,2005,Reserva 2,Ejercicio A6,Mezcla de disoluciones de base fuerte (concentración y pH)
química,ácido base,2005,Reserva 2,Ejercicio B4,Hidrólisis de CH3COONa (pH básico) y ácidos conjugados (NH3; H2O; OH⁻)
química,ácido base,2005,Reserva 3,Ejercicio A6,Equilibrio de ácido débil (pH y grado de disociación en contexto de conservante alimentario)
química,ácido base,2005,Reserva 3,Ejercicio B4,Pares ácido-base conjugados (completar equilibrios Brønsted-Lowry)
química,ácido base,2005,Reserva 4,Ejercicio B4,Equilibrio de ionización de base débil; hidrólisis de sal y especies en disolución de ácido fuerte
química,ácido base,2005,Septiembre,Ejercicio A5,Equilibrio de ácido débil (Ka; pH y concentración para alcanzar pH dado)
química,ácido base,2005,Septiembre,Ejercicio B4,Hidrólisis de sales (pH básico con Na2CO3; pH ácido con NH4Cl)
química,ácido base,2006,Junio,Ejercicio A4,Clasificación de iones en ácido/base/neutro según Brønsted-Lowry (CO3²⁻; Cl⁻; NH4⁺)
química,ácido base,2006,Reserva 1,Ejercicio A6,Equilibrio de base débil (Kb y pH a partir de grado de disociación)
química,ácido base,2006,Reserva 1,Ejercicio B4,pH de ácido fuerte y dilución con agua
química,ácido base,2006,Reserva 2,Ejercicio A6,Equilibrio de ácido débil (pH y Ka a partir del grado de disociación)
química,ácido base,2006,Reserva 2,Ejercicio B4,Pares ácido-base conjugados (completar equilibrios Brønsted-Lowry)
química,ácido base,2006,Reserva 3,Ejercicio A6,Dilución de base fuerte (volumen de agua) y neutralización (pH con exceso de base)
química,ácido base,2006,Reserva 3,Ejercicio B4,Hidrólisis de sales (NaCl; NH4Cl; CH3COONa) y clasificación ácida/básica/neutra
química,ácido base,2006,Reserva 4,Ejercicio A5,pH de base fuerte y volumen de agua para reducir pH
química,ácido base,2006,Reserva 4,Ejercicio B4,Preparación de disolución de base fuerte por dilución y cálculo de pH
química,ácido base,2006,Septiembre,Ejercicio A3,pH de base fuerte y dilución con agua
química,ácido base,2006,Septiembre,Ejercicio B5,Equilibrio de ácido débil (grado de disociación y pH)
química,ácido base,2007,Junio,Ejercicio A3,Clasificación de disoluciones por acidez/basicidad a partir de pH y concentración
química,ácido base,2007,Reserva 1,Ejercicio A6,pH de ácido fuerte y base fuerte; mezcla (neutralización con exceso de base)
química,ácido base,2007,Reserva 1,Ejercicio B4,Verdadero o falso (bases débiles; ácido débil vs concentración)
química,ácido base,2007,Reserva 2,Ejercicio A4,Hidrólisis de sales (NaCN; KCl; NH4Cl) y clasificación ácida/básica/neutra
química,ácido base,2007,Reserva 3,Ejercicio A6,Equilibrio de ácido débil (grado de disociación y Ka)
química,ácido base,2007,Reserva 3,Ejercicio B4,Pares ácido-base conjugados (completar equilibrios Brønsted-Lowry)
química,ácido base,2007,Reserva 4,Ejercicio A5,Equilibrio de ácido débil (concentración de especies; grado de disociación; Ka)
química,ácido base,2007,Reserva 4,Ejercicio B4,Hidrólisis de NH4Cl (pH ácido) y ácidos conjugados (HCO3⁻; H2O; CH3COO⁻)
química,ácido base,2007,Septiembre,Ejercicio A6,Preparación de disolución de base fuerte (pH; gramos; neutralización)
química,ácido base,2007,Septiembre,Ejercicio B4,Cuestiones teóricas Brønsted-Lowry (NH3; CO3²⁻; HNO2) y valoración ácido-base
química,ácido base,2008,Junio,Ejercicio A6,Equilibrio de ácido débil (grado de disociación y Ka)
química,ácido base,2008,Junio,Ejercicio B4,Neutralización ácido-base fuerte (volumen de NaOH; pH en punto de equivalencia; procedimiento experimental)
química,ácido base,2008,Reserva 1,Ejercicio A4,Hidrólisis de sales (clasificación ácida/básica/neutra)
química,ácido base,2008,Reserva 2,Ejercicio A5,Neutralización ácido-base fuerte (volumen de neutralización y pH con exceso de base)
química,ácido base,2008,Reserva 2,Ejercicio B4,Verdadero o falso (hidrólisis de acetato sódico; ácido débil vs concentración; disociación ácido fuerte)
química,ácido base,2008,Reserva 3,Ejercicio A6,Equilibrio de ácido débil (Ka y pH a partir del grado de disociación)
química,ácido base,2008,Reserva 3,Ejercicio B4,pH de ácido fuerte; base fuerte y mezcla de ambos (neutralización)
química,ácido base,2008,Reserva 4,Ejercicio A6,Equilibrio de base débil (grado de disociación y Kb)
química,ácido base,2008,Reserva 4,Ejercicio B4,Hidrólisis de NH4Cl y ácidos conjugados (CO3²⁻; H2O; NH3)
química,ácido base,2008,Septiembre,Ejercicio A3,Pares ácido-base conjugados (completar equilibrios Brønsted-Lowry)
química,ácido base,2008,Septiembre,Ejercicio B5,pH de ácido fuerte dibásico a partir de datos de riqueza/densidad y neutralización
química,ácido base,2009,Junio,Ejercicio A3,Hidrólisis de sales (clasificación ácida/básica/neutra)
química,ácido base,2009,Junio,Ejercicio B5,Equilibrio de base débil (cálculo de pH y Ka del ácido conjugado)
química,ácido base,2009,Reserva 1,Ejercicio A5,pH de base fuerte y volumen de agua a añadir para reducir pH
química,ácido base,2009,Reserva 1,Ejercicio B4,Ácidos y bases conjugados (pares conjugados Brønsted-Lowry)
química,ácido base,2009,Reserva 2,Ejercicio A6,Equilibrio de ácido débil (pH y grado de disociación)
química,ácido base,2009,Reserva 3,Ejercicio A4,Pares ácido-base conjugados (completar equilibrios Brønsted-Lowry)
química,ácido base,2009,Reserva 4,Ejercicio A6,Equilibrio de base débil (Kb) y volumen de agua para alcanzar pH dado
química,ácido base,2009,Reserva 4,Ejercicio B4,Verdadero o falso (ácido débil concentrado; ion negativo como ácido; anfóteros)
química,ácido base,2009,Septiembre,Ejercicio A6,pH de ácido fuerte vs ácido débil y volumen de agua para igualar pH
química,ácido base,2009,Septiembre,Ejercicio B4,Cuestiones teóricas Brønsted-Lowry (NH3; CH3COONa; HNO2)
química,ácido base,2010,Junio,Opción A - Ejercicio 6,"Equilibrio ácido débil (Ka, α, pH) + Volumen agua a añadir"
química,ácido base,2010,Junio,Opción B - Ejercicio 4,Verdadero / Falso y cuestiones teóricas
química,ácido base,2010,Reserva 1,Opción A - Ejercicio 4,Cuestiones teóricas: ácido fuerte/débil + Hidrólisis de sales
química,ácido base,2010,Reserva 2,Opción B - Ejercicio 5,"Equilibrio base débil (Kb, α, pH) + efecto dilución"
química,ácido base,2010,Reserva 3,Opción A - Ejercicio 6,Cálculo de pH de ácido/base fuerte + Neutralización con exceso
química,ácido base,2010,Reserva 3,Opción B - Ejercicio 4,Neutralización ácido-base + descripción procedimiento experimental
química,ácido base,2010,Reserva 4,Opción B - Ejercicio 4,Disoluciones amortiguadoras (tampón)
química,ácido base,2010,Septiembre,Opción A - Ejercicio 5,Cálculo de pH de base fuerte divalente + Neutralización
química,ácido base,2010,Septiembre,Opción B - Ejercicio 4,Hidrólisis de sales + Especies anfóteras
química,ácido base,2011,Junio,Opción A - Ejercicio 5,"Equilibrio base débil (Kb, α, concentraciones en equilibrio)"
química,ácido base,2011,Junio,Opción B - Ejercicio 4,Hidrólisis de sales (estimación cualitativa de pH)
química,ácido base,2011,Reserva 1,Opción B - Ejercicio 5,Molaridad a partir de densidad/riqueza + Neutralización
química,ácido base,2011,Reserva 2,Opción A - Ejercicio 6,"Equilibrio ácido débil (Ka, α, pH)"
química,ácido base,2011,Reserva 2,Opción B - Ejercicio 4,Pares conjugados y teoría Brönsted-Lowry + Especies anfóteras
química,ácido base,2011,Reserva 3,Opción A - Ejercicio 4,Verdadero / Falso y cuestiones teóricas
química,ácido base,2011,Reserva 4,Opción A - Ejercicio 6,Neutralización ácido-base + pH con exceso
química,ácido base,2011,Reserva 4,Opción B - Ejercicio 4,Verdadero / Falso y cuestiones teóricas
química,ácido base,2011,Septiembre,Opción B - Ejercicio 4,Verdadero / Falso y cuestiones teóricas
química,ácido base,2012,Junio,Opción A - Ejercicio 6,"Equilibrio ácido débil (Ka, α, pH)"
química,ácido base,2012,Junio,Opción B - Ejercicio 4,Hidrólisis de sales (estimación cualitativa de pH)
química,ácido base,2012,Reserva 1,Opción A - Ejercicio 4,Pares conjugados y teoría Brönsted-Lowry
química,ácido base,2012,Reserva 2,Opción A - Ejercicio 5,Cálculo de pH de base fuerte (molaridad) + Neutralización
química,ácido base,2012,Reserva 2,Opción B - Ejercicio 4,Clasificación ácido/base/anfótero según Brönsted-Lowry
química,ácido base,2012,Reserva 3,Opción A - Ejercicio 6,Molaridad a partir de densidad/riqueza + Neutralización
química,ácido base,2012,Reserva 3,Opción B - Ejercicio 4,Clasificación ácido/base/anfótero según Brönsted-Lowry
química,ácido base,2012,Reserva 4,Opción B - Ejercicio 4,Equilibrio de hidrólisis del ión amonio + efecto del pH
química,ácido base,2012,Septiembre,Opción B - Ejercicio 5,Equilibrio ácido débil (Ka) a partir de pH conocido
química,ácido base,2013,Junio,Opción B - Ejercicio 5,Cálculo de pH de base fuerte (molaridad) + Neutralización
química,ácido base,2013,Reserva 1,Opción A - Ejercicio 6,"Equilibrio ácido débil (Ka, α, pH) + pH ácido fuerte equivalente"
química,ácido base,2013,Reserva 1,Opción B - Ejercicio 4,Hidrólisis de sales + Pares conjugados
química,ácido base,2013,Reserva 2,Opción A - Ejercicio 6,"Equilibrio ácido débil (Ka, α) + Neutralización"
química,ácido base,2013,Reserva 2,Opción B - Ejercicio 4,"Cuestiones teóricas (ácido fuerte/débil, concentrado, anfótero)"
química,ácido base,2013,Reserva 3,Opción A - Ejercicio 5,Molaridad a partir de densidad/riqueza + Neutralización
química,ácido base,2013,Reserva 3,Opción B - Ejercicio 4,Pares conjugados y teoría Brönsted-Lowry
química,ácido base,2013,Reserva 4,Opción B - Ejercicio 4,Verdadero / Falso y cuestiones teóricas
química,ácido base,2013,Septiembre,Opción A - Ejercicio 4,Hidrólisis de sales (estimación cualitativa de pH)
química,ácido base,2014,Junio,Opción B - Ejercicio 4,Verdadero / Falso y cuestiones teóricas + Especies anfóteras
química,ácido base,2014,Junio,Opción A - Ejercicio 6,Neutralización ácido-base + pH con exceso
química,ácido base,2014,Reserva 1,Opción B - Ejercicio 4,Disoluciones amortiguadoras (tampón)
química,ácido base,2014,Reserva 1,Opción A - Ejercicio 5,"Equilibrio ácido/base débil (Ka, Kb) + Gramos de soluto"
química,ácido base,2014,Reserva 2,Opción B - Ejercicio 4,Cálculo de pH de ácido/base fuerte + cuestiones teóricas
química,ácido base,2014,Reserva 2,Opción A - Ejercicio 6,"Equilibrio ácido débil (Ka, α, pH)"
química,ácido base,2014,Reserva 3,Opción A - Ejercicio 4,Pares conjugados y teoría Brönsted-Lowry + Kb base conjugada
química,ácido base,2014,Reserva 4,Opción B - Ejercicio 4,Verdadero / Falso y cuestiones teóricas
química,ácido base,2014,Septiembre,Opción B - Ejercicio 5,"Equilibrio ácido débil (Ka, α, pH) + Kb base conjugada"
química,ácido base,2015,Junio,Opción A - Ejercicio 6,"Equilibrio base débil (Kb, α) + pH base fuerte divalente"
química,ácido base,2015,Junio,Opción B - Ejercicio 4,Hidrólisis de sales (estimación cualitativa de pH)
química,ácido base,2015,Reserva 1,Opción A - Ejercicio 4,Neutralización ácido-base + descripción procedimiento experimental
química,ácido base,2015,Reserva 2,Opción B - Ejercicio 5,Cálculo de pH de base fuerte (molaridad) + Neutralización
química,ácido base,2015,Reserva 3,Opción B - Ejercicio 4,Verdadero / Falso y cuestiones teóricas
química,ácido base,2015,Reserva 3,Opción A - Ejercicio 5,"Equilibrio ácido débil (Ka, α, pH) + base conjugada"
química,ácido base,2015,Reserva 4,Opción B - Ejercicio 4,Verdadero / Falso y cuestiones teóricas
química,ácido base,2015,Reserva 4,Opción A - Ejercicio 6,Molaridad a partir de densidad/riqueza + Neutralización
química,ácido base,2015,Septiembre,Opción B - Ejercicio 4,Hidrólisis de sales + Especies anfóteras
química,ácido base,2015,Septiembre,Opción B - Ejercicio 5,Molaridad a partir de densidad/riqueza + Neutralización
química,ácido base,2016,Junio,Opción A - Ejercicio 4,Pares conjugados y teoría Brönsted-Lowry
química,ácido base,2016,Reserva 1,Opción B - Ejercicio 4,Cálculo de pH de ácido/base fuerte (molaridad)
química,ácido base,2016,Reserva 2,Opción A - Ejercicio 6,"Equilibrio ácido débil (Ka, α, pH) + Kb base conjugada"
química,ácido base,2016,Reserva 2,Opción B - Ejercicio 4,Cuestiones teóricas sobre ácidos débiles
química,ácido base,2016,Reserva 3,Opción A - Ejercicio 5,Cálculo de pH de base fuerte + Neutralización ácido-base
química,ácido base,2016,Reserva 3,Opción B - Ejercicio 4,Hidrólisis de sales (estimación cualitativa de pH)
química,ácido base,2016,Septiembre,Opción A - Ejercicio 6,"Equilibrio ácido débil (Ka, α, pH) + Gramos de soluto"
química,ácido base,2016,Septiembre,Opción B - Ejercicio 4,Pares conjugados + Kb base conjugada
química,ácido base,2017,Junio,Opción A - Ejercicio 6,"Equilibrio base débil (Kb, α, pH) + Volumen agua a añadir"
química,ácido base,2017,Junio,Opción B - Ejercicio 4,Pares conjugados y teoría Brönsted-Lowry
química,ácido base,2017,Reserva 1,Opción A - Ejercicio 5,"Equilibrio ácido débil (Ka, α, pH) + Gramos de soluto"
química,ácido base,2017,Reserva 1,Opción B - Ejercicio 3,Verdadero / Falso y cuestiones teóricas
química,ácido base,2017,Reserva 2,Opción A - Ejercicio 5,Molaridad a partir de densidad/riqueza + Equilibrio base débil + Volumen agua a añadir
química,ácido base,2017,Reserva 2,Opción B - Ejercicio 3,Hidrólisis de sales (estimación cualitativa de pH)
química,ácido base,2017,Reserva 3,Opción A - Ejercicio 5,"Equilibrio ácido débil (Ka, α, pH) + Gramos de soluto"
química,ácido base,2017,Reserva 3,Opción B - Ejercicio 3,Verdadero / Falso y cuestiones teóricas
química,ácido base,2017,Reserva 4,Opción B - Ejercicio 5,"Equilibrio ácido débil (Ka, α, pH) + efecto dilución"
química,ácido base,2017,Septiembre,Opción A - Ejercicio 5,Molaridad a partir de densidad/riqueza + pH ácido fuerte + Neutralización
química,ácido base,2018,Junio,Opción A - Ejercicio 6,Disoluciones comerciales | pH ácido fuerte | Neutralización
química,ácido base,2018,Junio,Opción B - Ejercicio 4,Teoría Brønsted-Lowry | Hidrólisis de sales | pH de mezclas
química,ácido base,2018,Reserva 1,Opción B - Ejercicio 3,Verdadero / Falso conceptual | Comparación de ácidos débiles
química,ácido base,2018,Reserva 1,Opción A - Ejercicio 5,Disoluciones comerciales | pH base fuerte | Neutralización
química,ácido base,2018,Reserva 2,Opción A - Ejercicio 5,pH ácido débil | Grado de disociación | Ka
química,ácido base,2018,Reserva 3,Opción B - Ejercicio 3,Teoría Brønsted-Lowry | Ka y Kb par conjugado
química,ácido base,2018,Reserva 3,Opción A - Ejercicio 5,pH ácido débil | Grado de disociación | Ka | Kb base conjugada
química,ácido base,2018,Reserva 4,Opción B - Ejercicio 3,Verdadero / Falso conceptual | Ka y Kb | pH ácido débil
química,ácido base,2018,Reserva 4,Opción A - Ejercicio 5,pH base fuerte | Mezcla de bases fuertes | Neutralización
química,ácido base,2018,Septiembre,Opción B - Ejercicio 5,Disoluciones comerciales | pH base fuerte | Neutralización
química,ácido base,2019,Junio,Opción A - Ejercicio 5,pH ácido débil | Ka | Disoluciones comerciales | Neutralización
química,ácido base,2019,Junio,Opción B - Ejercicio 3,Verdadero / Falso conceptual | Teoría Brønsted-Lowry | Anfóteros
química,ácido base,2019,Reserva 1,Opción A - Ejercicio 5,pH ácido débil | Grado de disociación | Neutralización
química,ácido base,2019,Reserva 2,Opción B - Ejercicio 5,pH ácido débil | Grado de disociación | Neutralización
química,ácido base,2019,Reserva 3,Opción B - Ejercicio 3,Verdadero / Falso conceptual | pH ácido débil
química,ácido base,2019,Reserva 3,Opción A - Ejercicio 5,pH ácido débil | Ka | Kb base conjugada
química,ácido base,2019,Reserva 4,Opción B - Ejercicio 4,Verdadero / Falso conceptual | Hidrólisis de sales | Ácido fuerte vs débil
química,ácido base,2019,Reserva 4,Opción A - Ejercicio 6,pH base débil | Grado de disociación | Kb
química,ácido base,2019,Septiembre,Opción A - Ejercicio 5,pH ácido débil | Ka | Grado de disociación | Kb base conjugada
química,ácido base,2019,Septiembre,Opción B - Ejercicio 3,Comparación ácidos | Ka | Teoría Brønsted-Lowry | Kb base conjugada
química,ácido base,2020,Junio,Ejercicio B5,Teoría Brønsted-Lowry | Anfóteros | Clasificación de especies
química,ácido base,2020,Junio,Ejercicio C3,Disoluciones comerciales | pH base débil | Grado de disociación
química,ácido base,2020,Reserva 1,Ejercicio B4,Verdadero / Falso conceptual | Comparación de ácidos débiles
química,ácido base,2020,Reserva 1,Ejercicio C3,pH ácido débil | Ka | Kb base conjugada | Concentraciones en equilibrio
química,ácido base,2020,Reserva 2,Ejercicio C3,Disoluciones comerciales | pH base fuerte | Neutralización
química,ácido base,2020,Reserva 3,Ejercicio B5,Comparación ácidos débiles | Teoría Brønsted-Lowry | Ka y Kb
química,ácido base,2020,Reserva 3,Ejercicio C3,pH ácido débil | Ka | Grado de disociación | Dilución
química,ácido base,2020,Reserva 4,Ejercicio B5,Hidrólisis de sales | pH de disoluciones salinas
química,ácido base,2020,Reserva 4,Ejercicio C3,Neutralización | pH mezcla ácido-base fuerte
química,ácido base,2020,Septiembre,Ejercicio C3,pH ácido débil | Ka | Concentraciones en equilibrio | Dilución
química,ácido base,2021,Julio,Ejercicio B5,Verdadero / Falso conceptual | pH ácido fuerte | Neutralización
química,ácido base,2021,Julio,Ejercicio C3,pH ácido débil | Ka | Grado de disociación
química,ácido base,2021,Junio,Ejercicio B5,Hidrólisis de sales | Comparación pH disoluciones | Verdadero / Falso conceptual
química,ácido base,2021,Junio,Ejercicio C3,Disoluciones comerciales | pH ácido fuerte | Neutralización
química,ácido base,2021,Reserva 1,Ejercicio C3,pH base débil | Grado de disociación | Dilución
química,ácido base,2021,Reserva 2,Ejercicio B4,Verdadero / Falso conceptual | Hidrólisis de sales | pH ácido fuerte
química,ácido base,2021,Reserva 2,Ejercicio C3,pH ácido débil | Ka | Grado de disociación | Dilución
química,ácido base,2021,Reserva 3,Ejercicio C3,pH ácido débil | Ka | Grado de disociación | Dilución
química,ácido base,2021,Reserva 4,Ejercicio B5,Teoría Brønsted-Lowry | Hidrólisis de sales | Bases conjugadas
química,ácido base,2021,Reserva 4,Ejercicio C3,pH base fuerte | Disoluciones comerciales | Neutralización
química,ácido base,2022,Julio,Ejercicio B4,Verdadero / Falso conceptual | Teoría Brønsted-Lowry | pH ácido fuerte
química,ácido base,2022,Julio,Ejercicio C3,pH base débil | Grado de disociación | Kb
química,ácido base,2022,Junio,Ejercicio B5,Hidrólisis de sales | Teoría Brønsted-Lowry | Verdadero / Falso conceptual
química,ácido base,2022,Junio,Ejercicio C3,Disoluciones comerciales | pH base fuerte | Neutralización
química,ácido base,2022,Reserva 1,Ejercicio C3,Disoluciones comerciales | pH ácido fuerte | Neutralización
química,ácido base,2022,Reserva 2,Ejercicio B5,Teoría Brønsted-Lowry | Ka y Kb | Comparación ácidos débiles
química,ácido base,2022,Reserva 2,Ejercicio C3,pH base débil | Grado de disociación | Neutralización
química,ácido base,2022,Reserva 3,Ejercicio B5,Hidrólisis de sales | pH de disoluciones salinas
química,ácido base,2022,Reserva 3,Ejercicio C3,pH ácido débil | Ka | Concentraciones en equilibrio | Grado de disociación
química,ácido base,2022,Reserva 4,Ejercicio C3,pH ácido débil | Ka | Grado de disociación | Dilución | Kb base conjugada
química,ácido base,2023,Julio,Ejercicio B5,Verdadero / Falso conceptual | pH de mezclas | Efecto del ion común
química,ácido base,2023,Julio,Ejercicio C3,Disoluciones comerciales | pH ácido fuerte | Neutralización
química,ácido base,2023,Junio,Ejercicio B4,Teoría Brønsted-Lowry | pH base débil | Verdadero / Falso conceptual
química,ácido base,2023,Junio,Ejercicio C3,pH ácido débil | Ka | Grado de disociación | Dilución
química,ácido base,2023,Reserva 1,Ejercicio C3,Disoluciones comerciales | pH ácido débil | Ka | Kb base conjugada
química,ácido base,2023,Reserva 2,Ejercicio B5,Verdadero / Falso conceptual | Comparación de ácidos débiles
química,ácido base,2023,Reserva 2,Ejercicio C3,pH ácido débil | Ka | Grado de disociación | Dilución
química,ácido base,2023,Reserva 3,Ejercicio C3,Disoluciones comerciales | pH ácido fuerte | Neutralización
química,ácido base,2023,Reserva 4,Ejercicio B5,Verdadero / Falso conceptual | Teoría Brønsted-Lowry | Pares conjugados
química,ácido base,2023,Reserva 4,Ejercicio C3,Disoluciones comerciales | pH ácido débil | Ka | Grado de disociación
química,ácido base,2024,Julio,Ejercicio C3,Disoluciones comerciales | pH ácido fuerte | Neutralización
química,ácido base,2024,Junio,Ejercicio B5,Verdadero / Falso conceptual | Hidrólisis de sales | pH ácido fuerte vs débil
química,ácido base,2024,Junio,Ejercicio C3,pH ácido débil | Ka | Grado de disociación
química,ácido base,2024,Reserva 1,Ejercicio B5,Teoría Brønsted-Lowry | Hidrólisis de sales | Neutralización
química,ácido base,2024,Reserva 1,Ejercicio C3,pH base fuerte | Dilución | Disociación bases fuertes
química,ácido base,2024,Reserva 2,Ejercicio C3,Disoluciones comerciales | pH base fuerte | Neutralización
química,ácido base,2024,Reserva 3,Ejercicio C3,pH ácido débil | Ka | Grado de disociación | Dilución | Concentraciones en equilibrio
química,ácido base,2024,Reserva 4,Ejercicio B4,Teoría Brønsted-Lowry | Anfóteros | Hidrólisis de sales | Bases conjugadas
química,ácido base,2024,Reserva 4,Ejercicio C3,Disoluciones comerciales | pH ácido fuerte | Neutralización
